y,0,1
0,"[4252, 2855, 1943]","[4252, 2855, 1943]"
0,"[325, 280, 48]","[325, 280, 48]"
0,"[5934, 4805, 1440]","[5934, 4805, 1440]"
0,"[1440, 286, 4895]","[1440, 286, 4895]"
0,"[286, 4895, 4313]","[286, 4895, 4313]"
0,"[4895, 4313, 4822]","[4895, 4313, 4822]"
0,"[1581, 802, 1918]","[1581, 802, 1918]"
0,"[1069, 984, 174]","[1069, 984, 174]"
0,"[5498, 4877, 366]","[5498, 4877, 366]"
0,"[3382, 15, 1013]","[3382, 15, 1013]"
0,"[15, 1013, 2237]","[15, 1013, 2237]"
0,"[2237, 5890, 7683]","[2237, 7063, 7887]"
1,"[5890, 7683, 7525]","[7063, 7887, 7849]"
0,"[7683, 7525, 5419]","[7887, 7849, 5419]"
0,"[7525, 5419, 2350]","[7849, 5419, 2350]"
0,"[5419, 2350, 2406]","[5419, 2350, 2406]"
1,"[2406, 2960, 2575]","[2406, 2960, 2575]"
0,"[2960, 2575, 2539]","[2960, 2575, 2539]"
0,"[5405, 6338, 7156]","[5405, 6338, 7156]"
1,"[3348, 3811, 658]","[3348, 3811, 658]"
1,"[2579, 21, 153]","[2579, 21, 153]"
0,"[21, 153, 2908]","[21, 153, 2908]"
0,"[153, 2908, 2731]","[153, 2908, 2731]"
0,"[2908, 2731, 1000]","[2908, 2731, 1000]"
0,"[2731, 1000, 12]","[2731, 1000, 12]"
0,"[1000, 12, 259]","[1000, 12, 259]"
0,"[12, 259, 1537]","[12, 259, 1537]"
0,"[259, 1537, 2991]","[259, 1537, 2991]"
0,"[1537, 2991, 4907]","[1537, 2991, 4907]"
0,"[2991, 4907, 5967]","[2991, 4907, 5967]"
0,"[4907, 5967, 5183]","[4907, 5967, 5183]"
0,"[5967, 5183, 1733]","[5967, 5183, 1733]"
0,"[5183, 1733, 1327]","[5183, 1733, 326]"
0,"[1733, 1327, 2361]","[1733, 326, 3059]"
0,"[1327, 2361, 2106]","[326, 3059, 3665]"
0,"[2361, 2106, 1506]","[3059, 3665, 2491]"
0,"[2106, 1506, 1957]","[3665, 2491, 1957]"
0,"[1957, 2665, 2722]","[1957, 2665, 2722]"
0,"[1792, 6157, 5253]","[1792, 6157, 5253]"
0,"[5253, 5921, 4297]","[5253, 7051, 3330]"
1,"[4297, 4627, 3848]","[3330, 3278, 355]"
0,"[4627, 3848, 755]","[3278, 355, 755]"
0,"[3848, 755, 78]","[355, 755, 3288]"
0,"[755, 78, 158]","[755, 3288, 3397]"
1,"[78, 158, 107]","[3288, 3397, 3183]"
0,"[158, 107, 472]","[3397, 3183, 472]"
0,"[97, 3313, 5243]","[97, 3313, 4859]"
0,"[3313, 5243, 7164]","[3313, 4859, 6704]"
1,"[5243, 7164, 5963]","[4859, 6704, 4705]"
0,"[7164, 5963, 5113]","[6704, 4705, 4117]"
0,"[5963, 5113, 3987]","[4705, 4117, 2202]"
0,"[5113, 3987, 2103]","[4117, 2202, 526]"
1,"[3987, 2103, 1107]","[2202, 526, 937]"
0,"[2103, 1107, 1389]","[526, 937, 1389]"
0,"[1107, 1389, 2998]","[937, 1389, 2998]"
0,"[2998, 4505, 3849]","[2998, 4505, 3849]"
0,"[4505, 3849, 2499]","[4505, 3849, 2499]"
0,"[3849, 2499, 1498]","[3849, 2499, 1498]"
0,"[2499, 1498, 5937]","[2499, 1498, 5937]"
0,"[1498, 5937, 4711]","[1498, 5937, 4711]"
0,"[5937, 4711, 5335]","[5937, 4711, 5335]"
0,"[4711, 5335, 9048]","[4711, 5335, 9048]"
1,"[5335, 9048, 9048]","[5335, 9048, 9048]"
0,"[9048, 9048, 9048]","[9048, 9048, 9048]"
0,"[9048, 9048, 1605]","[9048, 9048, 1821]"
0,"[9048, 1605, 3191]","[9048, 1821, 3349]"
0,"[3191, 3863, 4879]","[3349, 3764, 4270]"
1,"[3863, 4879, 4828]","[3764, 4270, 4828]"
0,"[4879, 4828, 4852]","[4270, 4828, 4852]"
0,"[4828, 4852, 2688]","[4828, 4852, 2688]"
1,"[957, 3499, 4277]","[1605, 3302, 4874]"
0,"[4740, 3427, 3806]","[4740, 3427, 3806]"
1,"[4569, 3978, 3317]","[4021, 3278, 2046]"
0,"[3978, 3317, 205]","[3278, 2046, 205]"
0,"[3317, 205, 52]","[2046, 205, 52]"
0,"[52, 192, 174]","[52, 53, 55]"
0,"[192, 174, 5834]","[53, 55, 5196]"
0,"[174, 5834, 5020]","[55, 5196, 5020]"
0,"[5020, 6500, 3858]","[5020, 6500, 3858]"
1,"[2715, 337, 176]","[3280, 1223, 672]"
1,"[3602, 1029, 2487]","[3410, 741, 2585]"
0,"[1029, 2487, 3153]","[741, 2585, 3153]"
0,"[2487, 3153, 5455]","[2585, 3153, 5455]"
0,"[2072, 4476, 4452]","[2072, 4476, 4452]"
0,"[1335, 2000, 4071]","[1335, 2000, 4168]"
0,"[473, 735, 2619]","[361, 735, 2619]"
0,"[740, 888, 1477]","[740, 888, 1477]"
